state,death,marriage,divorce
Alabama,35305,49018,26745
Alaska,1604,5361,3517
Arizona,21226,30223,19908
Arkansas,22676,26513,15882
California,186428,210864,133541
Colorado,18925,34917,18571
Connecticut,26005,26048,13488
Delaware,5123,4437,2313
Florida,104190,108344,71579
Georgia,44230,70638,34743
Hawaii,4849,11856,4438
Idaho,6753,13428,6596
Illinois,102230,109823,50997
Indiana,47300,57853,40006
Iowa,26348,27474,11854
Kansas,21910,24847,13410
Kentucky,33765,32727,16731
Louisiana,35518,43460,18108
Maine,10768,12040,6205
Maryland,34025,46278,17494
Massachusetts,54919,46273,17873
Michigan,75102,86898,45047
Minnesota,33412,37641,15371
Mississippi,23570,27908,13846
Missouri,49329,54625,27595
Montana,6664,8336,4940
Nebraska,14465,14239,6442
Nevada,5852,114333,13842
New Hampshire,7594,9251,5254
New Jersey,68762,55794,27796
New Mexico,9016,16641,10426
New York,171769,144518,61972
N. Carolina,48426,46718,28050
N. Dakota,5596,6094,2142
Ohio,98268,99832,58809
Oklahoma,28227,46509,24226
Oregon,21756,23004,17762
Pennsylvania,123261,93673,34922
Rhode Island,9300,7490,3606
S. Carolina,25138,53915,13595
S. Dakota,6523,8800,2811
Tennessee,40713,59175,30206
Texas,108019,181762,96809
Utah,8103,16958,7802
Vermont,4587,5226,2623
Virginia,42496,60210,23615
Washington,32012,47728,28642
W. Virginia,19186,17391,10273
Wisconsin,39255,41111,17546
Wyoming,3215,6868,4003
